Genre: Free Form,From: 2023-08-01,Thru: 2024-03-22
Compiled: 2024-03-22 02:15
Show,Date,Track,Dur,Artist,Album,Released,Label,Composer
tall guy bops,2023-09-07,sever the blight,2:54,hemlocke springs,sever the blight,2023,"Good Luck Have Fun Records, LLC",""
tall guy bops,2023-09-07,Unconditional,3:09,Magdalena Bay,Mercurial World (Deluxe),2022,Luminelle Recordings,""
tall guy bops,2023-09-07,Hater's Anthem,2:51,Infinity Song,Hater's Anthem,2023,"Roc Nation Records, LLC",""
tall guy bops,2023-09-07,Mothers,3:12,Fcukers,Mothers,2023,fcuk you 2,""
tall guy bops,2023-09-07,Pirouette,3:06,TOPS,I Feel Alive,2020,TOPS Musique,""
tall guy bops,2023-09-07,GOODLUCK,3:47,Javi Vera,GOODLUCK,2023,4173539 Records DK,""
tall guy bops,2023-09-07,Run from you,2:26,Downtown Kayoto,Run from you,2023,Other Projects,""
tall guy bops,2023-09-07,Full Circle,3:41,The Pom-Poms,The Pom-Poms,2018,Pretty Wavvy,""
tall guy bops,2023-09-07,UDANCE?,1:07,"BELOVED SUN, Sol Galeano",CRYING AROUND AND IN COLOR,2022,3920076 Records DK2,""
tall guy bops,2023-09-07,Superstar,3:40,Pretty Sick,Deep Divine,2020,Dirty Hit,""
tall guy bops,2023-09-07,Ages Ago,2:15,Forth Wanderers,Forth Wanderers,2018,Sub Pop Records,""
tall guy bops,2023-09-07,Sport Mode,3:37,The Sewing Club,Sport Mode,2022,The Sewing Club,""
tall guy bops,2023-09-07,Holly,2:47,Anna Shoemaker,Holly,2023,+1 Records,""
tall guy bops,2023-09-07,You and I,2:42,Jakob,April,2019,Playground Music,""
tall guy bops,2023-09-07,That’s Not My Real Life,2:57,"Cherry Glazerr, Delicate Steve",Stuffed & Ready,2019,Secretly Canadian,""
tall guy bops,2023-09-07,Lavender Lust,1:04,"Ramirez, Rocci",THE PLAYA$ MANUAL,2020,G59 Records,""
tall guy bops,2023-09-07,I am not the sun,3:33,Maude Latour,I am not the sun,2023,Warner Records,""
tall guy bops,2023-09-07,Dealer,4:01,"Gliiico, Grace Aimi",Dealer,2022,GLIIICO,""
tall guy bops,2023-09-07,The Last Time I Saw You,3:35,Haich Ber Na,The Last Time I Saw You,2021,RAGS,""
tall guy bops,2023-09-07,Easy Go!,2:30,Raghd,Easy Go!,2023,In This Dunya,""
tall guy bops,2023-09-07,Trees and Flowers,3:14,Strawberry Switchblade,1982 4 Piece Demo,2017,Night School,""
tall guy bops,2023-09-07,megan fox,2:29,kezia,claire (deluxe),2021,NEVER SEVEN,""
tall guy bops,2023-09-07,Do U Wanna Stay?,2:30,Mana Garden,Do U Wanna Stay?,2022,Mana Garden,""
tall guy bops,2023-09-07,"Bad Taste Blues, Pt. III",4:18,Ball Park Music,Ball Park Music,2020,Prawn Records,""
tall guy bops,2023-09-07,Figure in the Field,5:38,The Brazen Youth,Primitive Initiative,2018,The Brazen Youth,""
tall guy bops,2023-09-07,Intergalactic Love Song,4:38,"The Diddys, Paige Douglas",Agony and Extasy,2015,Funkadelphia Records,""
tall guy bops,2023-09-07,Star Girl,3:00,Tommy Richman,Star Girl,2021,Big Effect,""
tall guy bops,2023-09-07,CRÈME BRÛLÉE!,2:15,spill tab,CRÈME BRÛLÉE!,2022,Arista Records,""
tall guy bops,2023-09-07,The Night,4:51,Lealani,Fantastic Planet,2019,Blood Moon Hunters,""
tall guy bops,2023-09-07,Friday Night,3:53,Sobs,Air Guitar,2022,Lirico / Inpartmaint,""
Beyond the Riff,2023-09-13,Light into Dark,2:54,Windhand,Eternal Return,2018,Relapse Records,""
Beyond the Riff,2023-09-13,Witch's Hand,3:07,Allysen Callery,Witch's Hand,2023,Gruselthon,""
Beyond the Riff,2023-09-13,Consuming Rites,9:04,"Mother Bear, Allysen Callery",Witch's Hand,2023,Gruselthon,""
Beyond the Riff,2023-09-13,A History of Bad Men,6:42,Melvins,A Senile Animal,2006,Ipecac Recordings,""
Beyond the Riff,2023-09-13,Black Days III,4:03,Soundgarden,Superunknown (Deluxe Edition),1994,Geffen,""
Beyond the Riff,2023-09-13,The Javelin,2:02,Fugitive,Maniac,2022,Fugitive,""
Beyond the Riff,2023-09-13,Interface with the Infinite,4:02,Havok,V,2020,Century Media,""
Beyond the Riff,2023-09-13,Silhouettes,4:45,Warbringer,Woe to the Vanquished,2017,Napalm Records,""
Beyond the Riff,2023-09-13,Endless Ambition,3:23,Nervosa,Endless Ambition,2023,Napalm Records,""
Beyond the Riff,2023-09-13,New Lords,1:16,Mindforce,New Lords,2022,Triple B Records,""
Beyond the Riff,2023-09-13,Of Days Renewed,3:21,Magnitude,Of Days Renewed,2023,Triple B Records,""
Beyond the Riff,2023-09-13,Tears Of The Wolf,4:11,Dead Heat,Endless Torment,2023,Triple B Records / Tank Crimes,""
Beyond the Riff,2023-09-13,Mountains of Mars,3:48,Electric Wizard,Electric Wizard,2006,Rise Above Limited,""
Beyond the Riff,2023-09-13,Evil Eye,3:30,Fu Manchu,The Action Is Go,1997,Mammoth,""
Beyond the Riff,2023-09-13,Red Tide Rising,4:49,Orange Goblin,A Eulogy for the Damned,2012,Candlelight,""
Beyond the Riff,2023-09-13,Momentum,7:27,Truckfighters,Gravity X,2005,Fuzzorama Records,""
Beyond the Riff,2023-09-13,Big Sky Theory,8:28,Dozer,Through The Eyes Of Heathens,2006,Dozer,""
Beyond the Riff,2023-09-13,Fifty Seven,4:26,Karma To Burn,Arch Stanton,2014,deepdive records,""
Beyond the Riff,2023-09-13,Theatre of Nature,6:00,Anna von Hausswolff,All Thoughts Fly,2020,(RED) Southern Lord,""
Beyond the Riff,2023-09-13,Birds,4:08,Katatonia,Sky Void of Stars,2023,Napalm Records Handels GmbH,""
Beyond the Riff,2023-09-13,Utopia,3:10,King Woman,Created in the Image of Suffering,2017,Relapse Records,""
Beyond the Riff,2023-09-13,I Wait,12:24,Bell Witch,Longing,2012,Profound Lore,""
Beyond the Riff,2023-09-13,Voidians,6:19,Slomatics,Voidians,2023,Black Bow Records,""
Beyond the Riff,2023-09-20,Light into Dark,2:54,Windhand,Eternal Return,2018,Relapse Records,""
Beyond the Riff,2023-09-20,Big Rig,6:31,Pigs Pigs Pigs Pigs Pigs Pigs Pigs,Land of Sleeper,2023,Missing Piece Records,""
Beyond the Riff,2023-09-20,Sunyaga,12:57,Dark Buddha Rising,Mathreyata,2020,Svart Records,""
Beyond the Riff,2023-09-20,Gifted by the Wind,6:28,Earthless,Black Heaven,2018,Nuclear Blast Entertainment,""
Beyond the Riff,2023-09-20,Space Train,3:28,Spiral Drive,Space Train,2021,Stonefree,""
Beyond the Riff,2023-09-20,State of Non-Return,6:05,OM,Advaitic Songs,2012,Drag City Records,""
Beyond the Riff,2023-09-20,Astral Plane Pt. 1,4:07,Ecstatic Vision,Sonic Praise,2015,Relapse Records,""
Beyond the Riff,2023-09-20,Ideas,5:48,Tibetan Miracle Seeds,Inca Missiles,2021,Fuzzed Up & Astromoon Records,""
Beyond the Riff,2023-09-20,Bulls,6:40,All Them Witches,Sleeping Through The War,2017,New West Records,""
Beyond the Riff,2023-09-20,Follow This Land,5:10,Spaceslug,Memorial,2021,Spaceslug,""
Beyond the Riff,2023-09-20,The Left Hand Path,6:51,Dead Meadow,Force Form Free,2022,BLUES FUNERAL RECORDINGS,""
Beyond the Riff,2023-09-20,Crown of Flies,3:48,Doomsday Profit,In Idle Orbit,2021,Abandon Hope Records,""
